method,population,n,n_permeable,auroc,note,delta_vs_deployed,delta_ci95_low,delta_ci95_high,bootstrap_p_deployed_better,verdict,verdict_basis
"deployed forest, 1,036 features",scaffold hold-out,3901,2473,0.8779,"stored out-of-fold predictions, not recomputed",0.0,,,,WEAKENED,deployed model beats the strongest null on both populations; on external approved the paired bootstrap interval for that margin has an upper bound of +0.0154
"deployed forest, 1,036 features",external approved,227,165,0.7666,the served model,0.0,,,,WEAKENED,deployed model beats the strongest null on both populations; on external approved the paired bootstrap interval for that margin has an upper bound of +0.0154
tpsa alone,scaffold hold-out,3901,2473,0.7687,"sign -, no fitting of any kind",-0.1092,-0.1216,-0.0979,0.0,WEAKENED,deployed model beats the strongest null on both populations; on external approved the paired bootstrap interval for that margin has an upper bound of +0.0154
tpsa alone,external approved,227,165,0.7304,"sign -, no fitting of any kind",-0.0361,-0.089,0.0108,0.0745,WEAKENED,deployed model beats the strongest null on both populations; on external approved the paired bootstrap interval for that margin has an upper bound of +0.0154
mw alone,scaffold hold-out,3901,2473,0.6643,"sign -, no fitting of any kind",-0.2136,-0.2301,-0.1971,0.0,WEAKENED,deployed model beats the strongest null on both populations; on external approved the paired bootstrap interval for that margin has an upper bound of +0.0154
mw alone,external approved,227,165,0.5712,"sign -, no fitting of any kind",-0.1954,-0.2828,-0.1151,0.0,WEAKENED,deployed model beats the strongest null on both populations; on external approved the paired bootstrap interval for that margin has an upper bound of +0.0154
clogp alone,scaffold hold-out,3901,2473,0.6122,"sign +, no fitting of any kind",-0.2657,-0.2868,-0.2467,0.0,WEAKENED,deployed model beats the strongest null on both populations; on external approved the paired bootstrap interval for that margin has an upper bound of +0.0154
clogp alone,external approved,227,165,0.5804,"sign +, no fitting of any kind",-0.1861,-0.2842,-0.0896,0.0005,WEAKENED,deployed model beats the strongest null on both populations; on external approved the paired bootstrap interval for that margin has an upper bound of +0.0154
hbd alone,scaffold hold-out,3901,2473,0.7272,"sign -, no fitting of any kind",-0.1507,-0.1639,-0.1365,0.0,WEAKENED,deployed model beats the strongest null on both populations; on external approved the paired bootstrap interval for that margin has an upper bound of +0.0154
hbd alone,external approved,227,165,0.713,"sign -, no fitting of any kind",-0.0535,-0.1125,0.0014,0.029,WEAKENED,deployed model beats the strongest null on both populations; on external approved the paired bootstrap interval for that margin has an upper bound of +0.0154
qed alone,scaffold hold-out,3901,2473,0.7138,"sign +, no fitting of any kind",-0.1641,-0.1803,-0.1493,0.0,WEAKENED,deployed model beats the strongest null on both populations; on external approved the paired bootstrap interval for that margin has an upper bound of +0.0154
qed alone,external approved,227,165,0.6357,"sign +, no fitting of any kind",-0.1309,-0.2171,-0.0529,0.001,WEAKENED,deployed model beats the strongest null on both populations; on external approved the paired bootstrap interval for that margin has an upper bound of +0.0154
CNS heuristic: TPSA <= 90 and MW <= 400,scaffold hold-out,3901,2473,0.6751,"binary call, 0.593 of compounds pass it",-0.2028,-0.2166,-0.1897,0.0,WEAKENED,deployed model beats the strongest null on both populations; on external approved the paired bootstrap interval for that margin has an upper bound of +0.0154
CNS heuristic: TPSA <= 90 and MW <= 400,external approved,227,165,0.6247,"binary call, 0.665 of compounds pass it",-0.1418,-0.2067,-0.0836,0.0,WEAKENED,deployed model beats the strongest null on both populations; on external approved the paired bootstrap interval for that margin has an upper bound of +0.0154
descriptor logistic regression,scaffold hold-out,3901,2473,0.8105,same Bemis-Murcko folds as the deployed cross-validation,-0.0674,-0.0767,-0.0579,0.0,WEAKENED,deployed model beats the strongest null on both populations; on external approved the paired bootstrap interval for that margin has an upper bound of +0.0154
descriptor logistic regression,external approved,227,165,0.74,fitted on the same compounds the deployed model was fitted on,-0.0266,-0.0709,0.016,0.118,WEAKENED,deployed model beats the strongest null on both populations; on external approved the paired bootstrap interval for that margin has an upper bound of +0.0154
"descriptor forest, 12 features",scaffold hold-out,3901,2473,0.8441,same Bemis-Murcko folds as the deployed cross-validation,-0.0338,-0.0409,-0.0263,0.0,WEAKENED,deployed model beats the strongest null on both populations; on external approved the paired bootstrap interval for that margin has an upper bound of +0.0154
"descriptor forest, 12 features",external approved,227,165,0.7431,fitted on the same compounds the deployed model was fitted on,-0.0235,-0.058,0.0154,0.107,WEAKENED,deployed model beats the strongest null on both populations; on external approved the paired bootstrap interval for that margin has an upper bound of +0.0154
