output,group,returns,role_in_tool,model,model_file,training_compounds,cv_scheme,cv_metric,cv_random,cv_scaffold,decision_threshold,threshold_basis,calibrated_file,positives,rows_before_dedup,duplicate_rows_removed,contradictory_groups_dropped,n_scaffolds,features,hyperparameters,source_table,holdout_auroc_vs_measured_inactives,sensitivity_at_threshold,sensitivity_basis,background_fpr_held_out,n_active_holdout,n_measured_inactive_holdout,reliable_call,mode,deployed
A2A,potency regression,pChEMBL (-log10 M),target engagement feeding the disease layer,RandomForestRegressor,models_rf/A2A.joblib,6756.0,StratifiedKFold(10) random and GroupKFold(10) on Bemis-Murcko scaffold,R2,0.7243,0.6118,,,,,7001.0,245.0,0.0,2746.0,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42, ""class_weight"": null}",data/endpoints/A2A.csv,,,,,,,,,
AChE,target classifier,probability 0-1,target engagement feeding the disease layer,RandomForestClassifier,models_rf/AChE.joblib,5125.0,StratifiedKFold(10) random and GroupKFold(10) on Bemis-Murcko scaffold,AUROC,0.9655,0.9227,0.5,fixed 0.5 with class_weight=balanced,models_rf/AChE_calibrated.joblib,3014.0,5318.0,188.0,5.0,2395.0,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42, ""class_weight"": ""balanced""}",data/endpoints/AChE.csv,,,,,,,,,
antioxidant_DPPH,potency regression,pChEMBL (-log10 M),antioxidant / neuroprotection axis,RandomForestRegressor,models_rf/antioxidant_DPPH.joblib,2782.0,StratifiedKFold(10) random and GroupKFold(10) on Bemis-Murcko scaffold,R2,0.6592,0.4161,,,,,2862.0,80.0,0.0,902.0,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42, ""class_weight"": null}",data/endpoints_reg/antioxidant_dpph.csv,,,,,,,,,
BACE1,target classifier,probability 0-1,target engagement feeding the disease layer,RandomForestClassifier,models_rf/BACE1.joblib,8213.0,StratifiedKFold(10) random and GroupKFold(10) on Bemis-Murcko scaffold,AUROC,0.9775,0.9652,0.5,fixed 0.5 with class_weight=balanced,models_rf/BACE1_calibrated.joblib,7102.0,8962.0,686.0,63.0,3251.0,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42, ""class_weight"": ""balanced""}",data/endpoints/BACE1.csv,,,,,,,,,
BBB,target classifier,probability 0-1,BBB gate applied to every disease score,RandomForestClassifier,models_rf/BBB.joblib,3901.0,StratifiedKFold(10) random and GroupKFold(10) on Bemis-Murcko scaffold,AUROC,0.899,0.8777,0.5,fixed 0.5 with class_weight=balanced,models_rf/BBB_calibrated.joblib,2473.0,7805.0,3773.0,131.0,2083.0,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42, ""class_weight"": ""balanced""}",data/endpoints/BBB.csv,,,,,,,,,
BChE,target classifier,probability 0-1,target engagement feeding the disease layer,RandomForestClassifier,models_rf/BChE.joblib,3278.0,StratifiedKFold(10) random and GroupKFold(10) on Bemis-Murcko scaffold,AUROC,0.9724,0.9451,0.5,fixed 0.5 with class_weight=balanced,models_rf/BChE_calibrated.joblib,1760.0,3386.0,103.0,5.0,1573.0,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42, ""class_weight"": ""balanced""}",data/endpoints/BChE.csv,,,,,,,,,
D2,potency regression,pChEMBL (-log10 M),target engagement feeding the disease layer,RandomForestRegressor,models_rf/D2.joblib,7907.0,StratifiedKFold(10) random and GroupKFold(10) on Bemis-Murcko scaffold,R2,0.6436,0.5237,,,,,8548.0,641.0,0.0,3718.0,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42, ""class_weight"": null}",data/endpoints/D2.csv,,,,,,,,,
GSK3B,target classifier,probability 0-1,target engagement feeding the disease layer,RandomForestClassifier,models_rf/GSK3B.joblib,5443.0,StratifiedKFold(10) random and GroupKFold(10) on Bemis-Murcko scaffold,AUROC,0.965,0.9389,0.5,fixed 0.5 with class_weight=balanced,models_rf/GSK3B_calibrated.joblib,4060.0,5640.0,190.0,7.0,2664.0,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42, ""class_weight"": ""balanced""}",data/endpoints/GSK3B.csv,,,,,,,,,
hERG,target classifier,probability 0-1,hERG cardiotoxicity safety flag,RandomForestClassifier,models_rf/hERG.joblib,9934.0,StratifiedKFold(10) random and GroupKFold(10) on Bemis-Murcko scaffold,AUROC,0.9572,0.9323,0.5,fixed 0.5 with class_weight=balanced,models_rf/hERG_calibrated.joblib,2371.0,10276.0,340.0,2.0,5680.0,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42, ""class_weight"": ""balanced""}",data/endpoints/hERG.csv,,,,,,,,,
HT2A,potency regression,pChEMBL (-log10 M),target engagement feeding the disease layer,RandomForestRegressor,models_rf/HT2A.joblib,6076.0,StratifiedKFold(10) random and GroupKFold(10) on Bemis-Murcko scaffold,R2,0.6988,0.5626,,,,,6393.0,317.0,0.0,2417.0,ecfp4_1024 + 12 descriptors,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42, ""class_weight"": null}",data/endpoints/HT2A.csv,,,,,,,,,
