stage,script,purpose,writes,in_git
1. Data acquisition,src/brainsafe/adme/fetch_adme.py,Fetch measured ADME / exposure datasets for ladder B (the properties that govern brain exposure).,"data/adme/<endpoint>.csv  (smiles, y[, label]) and data/adme/SOURCE.md",yes
1. Data acquisition,src/brainsafe/adme/fetch_pgp_substrate.py,Fetch a measured P-glycoprotein *substrate* dataset from ChEMBL (distinct from inhibition).,"data/adme/pgp_substrate.csv (inchikey, smiles, efflux_ratio, label)",yes
1. Data acquisition,src/brainsafe/data/fetch_antioxidant.py,Assemble the measured antioxidant regression set from ChEMBL DPPH radical-scavenging assays.,"data/_chembl_cache/antioxidant_dpph_raw.json   raw activities as retrieved; data/endpoints_reg/antioxidant_dpph.csv        smiles,y,year",yes
1. Data acquisition,src/brainsafe/data/fetch_batch2.py,"Fetch the second target expansion: ALS, Huntington, neuroinflammation, epilepsy and sleep.",,yes
1. Data acquisition,src/brainsafe/data/fetch_batch3.py,"Fetch the second target expansion: ALS, Huntington, neuroinflammation, epilepsy and sleep.",,yes
1. Data acquisition,src/brainsafe/data/fetch_batch4.py,Fetch the fourth target expansion: the mechanisms of epilepsy and pain the panel was missing.,,yes
1. Data acquisition,src/brainsafe/data/fetch_batch5.py,"Fetch the fifth expansion: migraine, multiple sclerosis, and a genuinely ALS-linked mechanism.",,yes
1. Data acquisition,src/brainsafe/data/fetch_bindingdb.py,Fetch measured binding affinities from BindingDB and report the net-new yield per target.,results/tables/bindingdb_yield.csv,yes
1. Data acquisition,src/brainsafe/data/fetch_clinical.py,Gather the clinical CNS precedent reference: ATC class N molecules that reached a clinical phase.,"data/clinical_cns_reference.csv    name,smiles,max_phase,atc,disease",yes
1. Data acquisition,src/brainsafe/data/fetch_endpoints.py,"Retrieve the measured ChEMBL activities for the core target panel, and the B3DB BBB set.","data/_chembl_cache/<target>_y.json          exact activities, consumed by rebuild_endpoints.py; data/_chembl_cache/<target>_inactive.json   measured non-binders, pooled in as label 0; data/endpoints/BBB.csv                      smiles,label from B3DB classification",yes
1. Data acquisition,src/brainsafe/data/fetch_natural_products.py,"Measured natural-product activity against the panel targets, fetched and characterised.","data/_chembl_cache/np_<target>.json          raw activities, as retrieved; results/tables/natural_product_candidates.csv   one row per compound-target measurement; results/tables/natural_product_coverage.csv     per-target summary, and what it would add",yes
1. Data acquisition,src/brainsafe/data/fetch_new_targets.py,Fetch measured ChEMBL activities for the new brain-target endpoints.,,yes
1. Data acquisition,src/brainsafe/data/fetch_pka.py,"Fetch measured pKa from ChEMBL, and separate basic from acidic ionisation.","data/endpoints_reg/pka_basic.csv, data/endpoints_reg/pka_all.csv",yes
1. Data acquisition,src/brainsafe/data/fetch_pubchem_expansion.py,Fetch measured inactives from PubChem BioAssay for the targets whose negative class is thin.,data/_pubchem_cache/<target>_inactives.csv,yes
1. Data acquisition,src/brainsafe/data/fetch_pubchem_inactives.py,Fetch measured *inactive* compounds from PubChem BioAssay for the protein-target classifiers.,"data/_pubchem_cache/<target>_inactives.csv  (inchikey, smiles)",yes
1. Data acquisition,src/brainsafe/data/fetch_readacross_targets.py,Fetch additional targets to widen read-across beyond the modelled panel.,data/readacross/<TARGET>.csv,yes
1. Data acquisition,src/brainsafe/data/find_targets.py,"Resolve ChEMBL target IDs by NAME SEARCH, never by memorised identifier.",data/_chembl_cache/target_search.json,yes
