# WHAT THIS FILE CONTAINS: every file in AUDIT_PACKAGE, with what it holds and what it is for.
# WHAT IT IS USED FOR: finding the file that answers a given question.
# GENERATED FROM: src/brainsafe/analysis/build_audit_package.py
file,rows,columns,size_kb,what_it_contains,what_it_is_used_for,generated_from
01_HOW_THE_MODEL_WORKS/MODEL_INVENTORY_per_endpoint.csv,66,10,23.8,"Every endpoint with the model files deployed for it, what each file does, its estimator family and its decision threshold.","Answering how many models exist per endpoint, and why an endpoint may have more than one file.",models_rf/ and models_rf/binder_modes.json
01_HOW_THE_MODEL_WORKS/FEATURE_DEFINITIONS_all_1036.csv,1036,5,125.1,All 1036 model inputs in the exact order the estimator receives them: 1024 ECFP-4 fingerprint bits followed by 12 named physicochemical descriptors.,"Reading the feature matrix, and confirming that every endpoint shares one fixed representation.",src/brainsafe/features/featurize.py
02_TRAINING_DATA_AND_LABELS/ENDPOINT_TRAINING_AND_LABELLING.csv,55,13,26.3,"Per endpoint: how many measurements, how many actives and inactives, how many decoys were generated, how many compounds the model was actually fitted to, and the exact rule that turned a measurement into a label.",Auditing the labelling. The label rule differs by panel and this is where that is stated per endpoint rather than in prose.,"data/endpoints/, models_rf/binder_modes.json, models_rf/endpoint_context.json"
03_FEATURE_MATRIX_what_the_model_receives/FEATURE_MATRIX_descriptors_all_compounds.csv,161812,14,20445.7,"Every one of 161,812 distinct training structures as a row, with the 12 named physicochemical descriptors as columns and a count of how many of the 1024 fingerprint bits it sets. 2 structures could not be parsed by RDKit and are absent.","Seeing the chemical space the models were fitted over, at a width that opens in a spreadsheet.",data/endpoints/ featurised by src/brainsafe/features/featurize.py
03_FEATURE_MATRIX_what_the_model_receives/FEATURE_MATRIX_all_1036_columns_tested_compounds.csv,2078,1037,8562.1,"The complete model input for the 2,078 externally tested structures: one row per compound, all 1036 columns, holding the exact values passed to the estimator.",Confirming precisely what the model receives. This is the array that goes in; there is no further transformation between this file and the forest.,"the compounds in MASTER_external_test_results.csv, featurised identically"
04_TRAINING_TESTING_VALIDATION/CROSS_VALIDATION_every_fold.csv,1420,24,262.2,"Every individual fold of every endpoint: 1,420 rows covering 67 endpoints in two split regimes, with training and test sizes and the metrics for that fold alone.",Checking the ten-fold claim directly. Each row is one model fitted on nine folds and scored on the tenth.,"results/tables/manuscript_T2_per_fold.csv, adme_cv_folds.csv, binder_cv_folds.csv"
05_INVERSION_TESTS/VERDICTS.csv,8,3,1.5,"The verdict on each falsification hypothesis H1 to H8: whether the attempt to break the tool succeeded, and the headline finding.",The falsification record. These analyses were designed to make the tool look wrong; the ones that succeeded are reported as such.,inversion/results/VERDICTS.csv
05_INVERSION_TESTS/H6_clinical_indication.csv,7,8,0.9,"H6: whether a drug's licensed indication is recovered, stratified by whether the drug's chemistry was seen in training.",The falsification record. These analyses were designed to make the tool look wrong; the ones that succeeded are reported as such.,inversion/results/H6_clinical_indication.csv
05_INVERSION_TESTS/H7_target_discrimination.csv,43,9,2.8,"H7: per target, whether the model separates held-out actives from random chemistry.",The falsification record. These analyses were designed to make the tool look wrong; the ones that succeeded are reported as such.,inversion/results/H7_target_discrimination.csv
05_INVERSION_TESTS/H8_panel_independence.csv,9,2,0.8,H8: whether the panel's endpoints fire independently or are driven by a shared signal.,The falsification record. These analyses were designed to make the tool look wrong; the ones that succeeded are reported as such.,inversion/results/H8_panel_independence.csv
05_INVERSION_TESTS/H8_family_correlation.csv,20,8,1.5,H8 detail: co-firing rates between homologous target pairs.,The falsification record. These analyses were designed to make the tool look wrong; the ones that succeeded are reported as such.,inversion/results/H8_family_correlation.csv
05_INVERSION_TESTS/H4_distant_specificity.csv,4,7,0.7,H4: false-positive rate on chemistry increasingly unlike anything trained on.,The falsification record. These analyses were designed to make the tool look wrong; the ones that succeeded are reported as such.,inversion/results/H4_distant_specificity.csv
05_INVERSION_TESTS/H5_readacross_value.csv,2,5,0.5,H5: whether similarity read-across alone would do as well as the trained models.,The falsification record. These analyses were designed to make the tool look wrong; the ones that succeeded are reported as such.,inversion/results/H5_readacross_value.csv
05_INVERSION_TESTS/H1_disease_layer.csv,4,5,0.5,H1: whether the disease-scoring layer adds anything over the endpoint scores.,The falsification record. These analyses were designed to make the tool look wrong; the ones that succeeded are reported as such.,inversion/results/H1_disease_layer.csv
05_INVERSION_TESTS/H2_weight_ablation.csv,3,2,0.4,H2: sensitivity of disease ranking to the mechanism weights.,The falsification record. These analyses were designed to make the tool look wrong; the ones that succeeded are reported as such.,inversion/results/H2_weight_ablation.csv
05_INVERSION_TESTS/H6_mesh_mapping_audit.csv,111,4,7.5,"The MeSH mapping behind H6, every panel condition to every matched heading, so a wrong match can be found rather than assumed absent.",The falsification record. These analyses were designed to make the tool look wrong; the ones that succeeded are reported as such.,inversion/results/H6_mesh_mapping_audit.csv
06_WHAT_RUNS_A_PREDICTION/FILES_LOADED_AT_PREDICTION_TIME.csv,12,4,2.6,"Every file the served application opens to answer a single query, and what each one does at that moment.",Separating what trained the model from what runs it. The training tables are not read at prediction time; the applicability-domain and calibration data are.,the load functions in app.py
