# WHAT THIS FILE CONTAINS: Per endpoint: how many measurements, how many actives and inactives, how many decoys were generated, how many compounds the model was actually fitted to, and the exact rule that turned a measurement into a label.
# WHAT IT IS USED FOR: Auditing the labelling. The label rule differs by panel and this is where that is stated per endpoint rather than in prose.
# GENERATED FROM: data/endpoints/, models_rf/binder_modes.json, models_rf/endpoint_context.json
endpoint,panel,task,measured_records,measured_actives,measured_inactives,decoys_generated,compounds_the_model_was_fitted_to,how_a_label_was_assigned,measurement_sources,base_rate_of_activity,cross_validation,training_table
D3,Binder classifier,classification,5647,5462,185,12289,16508,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 5,647",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/D3.csv
PDE10A,Binder classifier,classification,5112,5052,60,12222,16336,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 5,112",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/PDE10A.csv
OX2,Binder classifier,classification,6231,6207,24,11544,15408,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 6,227; PubChem_HTS 4",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/OX2.csv
OPRM1,Binder classifier,classification,6109,5743,366,10971,14872,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 6,109",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/OPRM1.csv
HDAC6,Binder classifier,classification,5612,5366,246,11022,14860,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 5,612",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/HDAC6.csv
HT1A,Binder classifier,classification,5414,5220,194,11012,14812,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 5,414",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/HT1A.csv
OX1,Binder classifier,classification,5273,5159,114,9879,13248,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 5,240; PubChem_HTS 33",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/OX1.csv
H3,Binder classifier,classification,4198,4022,176,9548,12848,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 4,198",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/H3.csv
OPRK1,Binder classifier,classification,5167,4857,310,9022,12236,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 5,167",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/OPRK1.csv
HDAC1,Binder classifier,classification,6367,5796,571,8880,12220,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 6,367",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/HDAC1.csv
mTOR,Binder classifier,classification,4484,4108,376,8764,11936,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 4,484",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/mTOR.csv
P2X7,Binder classifier,classification,4401,4358,43,8793,11752,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 4,401",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/P2X7.csv
Nav1_7,Binder classifier,classification,5752,5415,337,8064,10976,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 5,752",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/Nav1_7.csv
HT6,Binder classifier,classification,3823,3766,57,8195,10964,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 3,823",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/HT6.csv
CB1,Binder classifier,classification,4613,4404,209,7936,10720,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 4,613",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/CB1.csv
BACE1,Core target/property classifier,classification,8501,7739,762,0,8501,measured dataset label as supplied by the source; see the data source column for which curation it follows,"ChEMBL 4,455; BindingDB+ChEMBL 3,646; BindingDB 400",0.9103634866486295,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/BACE1.csv
BBB,Core target/property classifier,classification,7807,4956,2851,0,7807,measured dataset label as supplied by the source; see the data source column for which curation it follows,see data/raw/measured_endpoints_SOURCE.md,0.6348149096964263,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/BBB.csv
A1,Binder classifier,classification,4007,3788,219,5720,7772,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 4,007",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/A1.csv
D2,Receptor potency regressor,regression,7734,7468,266,0,7734,"no label. The measured pChEMBL value is regressed directly, because these sets are almost entirely active and a binary split would be ill-posed.","ChEMBL 4,073; BindingDB+ChEMBL 3,428; BindingDB 233",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/D2.csv
Sigma1,Binder classifier,classification,2838,2793,45,5762,7712,"positive if pChEMBL >= 7.0 (100 nM or better). Negative class is two things kept distinct: property-matched decoys drawn from background chemistry at 3:1 to actives with Tanimoto < 0.35 to every active, and half the measured inactives. The other half of the measured inactives never enters training and is used to set the decision threshold.","ChEMBL 2,838",,"10-fold, in two regimes: random, and GroupKFold over generic Bemis-Murcko scaffolds",data/endpoints/Sigma1.csv
